Point d'echantillonnage,Nom,Localisation,Administration,Latitude,Longitude,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
IBIZ-6,rue des Cedres,"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, 65m au nord du coin nord de l'av. des Cedres.",L'Ile-Bizard-Sainte-Genevieve,"45,5134128702","-73,8572130117",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IBIZ-6.5,rue des erables,"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, 50m au nord-est de l'intersection des av. des Vignes et des erables, rampe de mise aæ l'eau.",L'Ile-Bizard-Sainte-Genevieve,"45,5160574099","-73,8613862334",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IBIZ-7,P-N ele-Bizard (rapides),"Parc-nature du Bois-de-l'ele-Bizard, secteur des Rapides, aæ la hauteur des rues Cherrier et Patenaude",L'Ile-Bizard-Sainte-Genevieve,"45,518608597","-73,8639167409",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IBIZ-8,Rapides Lalemant,"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, 20m au nord de l'intersection du ch. du Bord-du-lac et de l'av. 5e.",L'Ile-Bizard-Sainte-Genevieve,"45,5198902239","-73,878104067",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IBIZ-8.4,Ch. Bord-du-Lac,"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, 350m en aval de l'intersection de pl. des Cageux et ch. Bord-du-Lac, 225m au nord-ouest du ch. du Bord-du-lac,.",L'Ile-Bizard-Sainte-Genevieve,"45,517685845","-73,8943728067",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
IBIZ-8.5,P-N ele-Bizard (acceuil),"Parc-nature du Bois-de-l'ele-Bizard, secteur chalet d'accueil, aæ la hauteur du chemin du Bord-du-lac et Place des Cageux",L'Ile-Bizard-Sainte-Genevieve,"45,5171426312","-73,8998051233",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
IBIZ-9,Pointe aux Carrieres,"L'Ile-Bizard / Sainte-Genevieve, Ile Bizard, Parc nature du Boise-de-l'ile-Bizard, 600m au nord-ouest de l'intersection du ch. du Bord-du-lac et de pl. des Cageux, gazebo de la Pointe aux Carrieres.",L'Ile-Bizard-Sainte-Genevieve,"45,5171344013","-73,902364943",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LSL-0.5,Port de plaisance de Lachine,"Port de plaisance de Lachine, rampe de mise aæ l'eau sur le chemin des Iroquois",Lachine,"45,4292006566","-73,6739646138",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
LSL-1,Parc Monk,"Parc Monk, aæ la hauteur du boul. Saint-Joseph et de la 7ieme av.",Lachine,"45,4310119063","-73,671087153",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-10,Parc Edgewater,"Parc Edgewater, aæ la hauteur des ch. Bord-du-Lac et Bowling Green",Pointe-Claire,"45,4305512094","-73,8180645174",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-10.25,Club naut. de Pointe-Claire,"Pointe-Claire, extremite de la rue Cartier, jetee du Yacht Club de Pointe-Claire.",Pointe-Claire,"45,4273894648","-73,8209591943",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
LSL-10.5,Yacht Club de Beaconsfield,"Yacht Club de Beaconsfield, aæ la hauteur du ch. Lakeshore et av. Glendale",Beaconsfield,"45,4257542307","-73,835792596",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-11,Parc Saint-James,"Parc Saint-James, aæ la hauteur du ch.Lakeshore et rue Kirkwood",Beaconsfield,"45,4290136793","-73,8429391019",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-11.5,Club nautique Lord-Reading,"Beaconsfield, intersection du boul. Beaconsfield et de la pl. Ashton, jetee du Lord Reading yacht club.",Beaconsfield,"45,423400934","-73,8610189293",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LSL-12,Parc Centennial,"Parc Centennial, aæ la hauteur du boul. Beaconsfield et road Shore",Beaconsfield,"45,4233723794","-73,8616692198",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-12.5,Parc Saint-Louis,"Beaconsfield, 60m au sud de l'intersection de la rue Lakeshore et de l'av.. Saint-Louis, Parc St-Louis",Beaconsfield,"45,4171214985","-73,8775957377",0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
LSL-13,Parc Angell,"Parc Angell, aæ la hauteur du ch. Lakeshore et av. Angell",Beaconsfield,"45,4154903855","-73,8838556894",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-14,Parc Lakeview,"Parc Lakeview, aæ la hauteur de ch.Lakeshore et boul. Lakeview",Beaconsfield,"45,4149117235","-73,8894919993",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-15,Place Poplar,"Baie d'Urfe, 200m au sud de l'intersection de la route Lakeshore et de la pl. Poplar",Baie d'Urfe,"45,4112844731","-73,9003387443",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
LSL-16,Parc de l'Hotel de Ville,"Parc de l'Hotel de Ville, aæ la hauteur du ch. Lakeshore et rue Carriere",Baie d'Urfe,"45,4075156035","-73,9170058095",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-17,Parc Bertold,"Parc Bertold, aæ la hauteur du ch. Lakeshore et rue Churchill",Baie d'Urfe,"45,4034966811","-73,9242020891",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-17.5,Club nautique de Baie d'Urfe,"Baie d'Urfe, 220m au sud-ouest de l'intersection de la route Lakeshore et de la rue de la Pointe Caron, quai du Baie d'Urfe yacht club.",Baie d'Urfe,"45,4038378755","-73,922791128",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LSL-18,Bordure ch.Lakeshore,"En bordure du ch. Lakeshore, aæ la hauteur de la rue St-Andrew's",Sainte-Anne-de-Bellevue,"45,4042505148","-73,9345207723",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-19,Parc Kelso,"Parc Kelso, aæ la hauteur des rues Sainte-Anne et Perrault",Sainte-Anne-de-Bellevue,"45,4022740758","-73,9461889295",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-2,Marina d'escale,"Marina d'escale, aæ la hauteur du boul. Saint-Joseph et 24ieme av.",Lachine,"45,4329043893","-73,6856828197",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-2.5,Quai Federal,"Quai Federal, parc Saint-Louis, aæ la hauteur du boul. Saint-Joseph et 34e av.",Lachine,"45,4324532237","-73,6943170218",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
LSL-20,Parc Promenade Canal,"Parc Promenade Canal, 30m au sud de la rue Sainte-Anne, sous le pont Galipeault, en aval de l'ecluse",Sainte-Anne-de-Bellevue,"45,4039650528","-73,9542243822",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-20.5,Amont de l'ecluse,"Parc Promenade du Canal, aæ la hauteur de la rue Sainte-Anne et Aut. 20",Sainte-Anne-de-Bellevue,"45,404944971","-73,9573157901",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
LSL-21,Parc Godin,"Parc Godin, aæ la hauteur de la rue Grier et Pacifique",Sainte-Anne-de-Bellevue,"45,40763586","-73,956958511",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-3,Parc Stoney Point,"Parc Stoney Point, aæ la hauteur de la 46 av. et boul. Saint-Joseph",Lachine,"45,4356330787","-73,7070769127",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-4,Parc Summerlea,"Parc Summerlea, aæ la hauteur de la 53e av. et boul. Saint-Joseph",Lachine,"45,4375636539","-73,7156229348",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-4.3,Parc du Milllenaire / Dorval,"Parc du Millenaire, aæ la hauteur du cercle Keiller et av. Sevigny",Dorval,"45,4384839465","-73,723304877",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
LSL-4.5,Extremite de la rue Saint-Charles,Extremite de l'av. Saint-Charles aæ la hauteur de la rue Ducharme,Dorval,"45,4379377098","-73,7267478618",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-5,Avenue Dahlia,"Dorval, extremite sud de l'av. Dahlia",Dorval,"45,4371890319","-73,7324332995",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
LSL-5.25,Rue Ash,"Dorval, ele Dorval, aval de l'ele Dorval, 30m au sud-est de l'av. Ash.",Dorval,"45,4322449276","-73,7377316194",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LSL-5.5,Traversier Ile Dorval,"Quai du traversier de l'ele Dorval, aæ l'extremite de l'av. Dorval aæ la hauteur de ch.Bord du lac",Dorval,"45,438105793","-73,7393059252",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-5.75,Club naut. Royal Saint-Laurent,"Dorval, 100m au sud-est de l'av. Allan Point, jetee du Yacht-Club Royal Saint-Laurent",Dorval,"45,4378641919","-73,7531230638",0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
LSL-6,Parc Pine Beach (aval),"Dorval, 100m au sud de l'intersection du ch. Bord-du-Lac et du boul. Pine Beach, Parc Pine Beach",Dorval,"45,4389103938","-73,7583517098",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
LSL-6.5,Parc Pinebeach,"Parc Pinebeach (amont), aæ la hauteur du ch. Bord-du-Lac et av. Saint-Louis",Dorval,"45,4397458168","-73,7629475401",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
LSL-7,Parc Baie-de-Valois,"Parc Baie de Valois, aæ la hauteur du ch.Bord-du-Lac et av. Canary",Dorval,"45,4420621003","-73,7752185289",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-8,Parc P.C. Venture,"Parc P.C. Venture, aæ la hauteur du ch.Bord du lac et voie d'acces aæ l'A20",Pointe-Claire,"45,4468918017","-73,796046943",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSL-9,Parc Steward,"Parc Steward, aæ l'extremite de l'av. Stewart aæ la hauteur du ch. Bord du lac",Pointe-Claire,"45,4339624309","-73,8075872736",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-100,Extremite de la rue Beaulieu,"aó l'extremite de la rue Beaulieu, aæ la hauteur du boul. Gouin O.",L'Ile-Bizard-Sainte-Genevieve,"45,4727263694","-73,8776219741",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-110,Parc Antoine-Faucon,"Parc Antoine-Faucon, aæ l'extremite de la rue du Pont, aæ la hauteur du boul.Gouin O.",L'Ile-Bizard-Sainte-Genevieve,"45,4858671363","-73,8690237921",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
RDP-120,Parc du Portage,"Parc du Portage, aæ la hauteur de la rue Bourget et Place Bellerive",L'Ile-Bizard-Sainte-Genevieve,"45,4877604522","-73,8633164851",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
